detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts,total_avg,pts_sec,match_loss
SHITOMASI, FREAK, MAT_FLANN, SEL_KNN,71.1551,1339,100.712,772.042,717,943.91,760,53.5%
SHITOMASI, FREAK, MAT_FLANN, SEL_NN,71.1222,1339,99.5704,806.537,1247,977.23,1276,93.1%
SHITOMASI, SIFT, MAT_BF, SEL_NN,73.1721,1339,433.121,484.841,1079,991.13,1089,80.6%
AKAZE, AKAZE, MAT_BF, SEL_KNN,529.105,1342,522.471,17.1824,1023,1068.76,957,76.2%
AKAZE, AKAZE, MAT_BF, SEL_NN,527.694,1342,520.532,34.0865,1047,1082.31,967,78.0%
AKAZE, BRIEF, MAT_FLANN, SEL_NN,528.989,1342,44.4986,510.564,1344,1084.05,1240,100.1%
AKAZE, BRIEF, MAT_FLANN, SEL_KNN,534.996,1342,45.3245,506.014,985,1086.33,907,73.4%
ORB, BRIEF, MAT_FLANN, SEL_NN,126.267,2000,65.523,1004.1,2000,1195.89,1672,100.0%
ORB, BRIEF, MAT_FLANN, SEL_KNN,125.74,2000,67.1069,1005.37,912,1198.22,761,45.6%
AKAZE, SIFT, MAT_FLANN, SEL_NN,533.277,1342,591.994,145.41,1344,1270.68,1058,100.1%
AKAZE, SIFT, MAT_FLANN, SEL_KNN,534.927,1342,596.27,155.934,1055,1287.13,820,78.6%
BRISK, ORB, MAT_FLANN, SEL_NN,115.54,2706,99.4362,1081.77,2674,1296.75,2062,98.8%
BRISK, ORB, MAT_FLANN, SEL_KNN,117.15,2706,99.097,1110.77,1393,1327.02,1050,51.5%
FAST, SIFT, MAT_FLANN, SEL_NN,39.3191,4904,738.249,563.167,4911,1340.74,3663,100.1%
BRISK, SIFT, MAT_FLANN, SEL_NN,114.952,2706,909.937,316.705,2716,1341.59,2024,100.4%
BRISK, SIFT, MAT_FLANN, SEL_KNN,114.576,2706,912.139,329.189,1693,1355.90,1249,62.6%
AKAZE, BRISK, MAT_FLANN, SEL_NN,525.648,1342,37.3679,802.075,1344,1365.09,985,100.1%
AKAZE, BRISK, MAT_FLANN, SEL_KNN,528.714,1342,38.0884,808.693,915,1375.50,665,68.2%
FAST, SIFT, MAT_FLANN, SEL_KNN,39.3442,4904,739.993,598.397,3345,1377.73,2428,68.2%
AKAZE, SIFT, MAT_BF, SEL_KNN,531.536,1342,592.745,263.378,1049,1387.66,756,78.2%
AKAZE, AKAZE, MAT_FLANN, SEL_NN,524.723,1342,523.755,554.567,1344,1603.05,838,100.1%
AKAZE, AKAZE, MAT_FLANN, SEL_KNN,525.544,1342,520.405,558.736,1023,1604.69,638,76.2%
AKAZE, SIFT, MAT_BF, SEL_NN,528.796,1342,597.904,492.797,1076,1619.50,664,80.2%
ORB, SIFT, MAT_FLANN, SEL_KNN,127.677,2000,1307.5,232.566,1394,1667.74,836,69.7%
ORB, SIFT, MAT_FLANN, SEL_NN,129.276,2000,1330.84,222.498,2000,1682.61,1189,100.0%
BRISK, BRIEF, MAT_FLANN, SEL_NN,116.854,2706,89.0781,1625.51,2687,1831.44,1467,99.3%
BRISK, BRIEF, MAT_FLANN, SEL_KNN,114.659,2706,89.7281,1630.66,1671,1835.05,911,61.8%
BRISK, SIFT, MAT_BF, SEL_KNN,115.856,2706,910.079,946.34,1637,1972.28,830,60.5%
ORB, SIFT, MAT_BF, SEL_KNN,126.403,2000,1318.2,544.871,1382,1989.47,695,69.1%
AKAZE, FREAK, MAT_FLANN, SEL_KNN,528.741,1342,101.841,1362.03,870,1992.61,437,64.8%
AKAZE, FREAK, MAT_FLANN, SEL_NN,529.353,1342,103.225,1360.86,1344,1993.44,674,100.1%
SIFT, BRISK, MAT_BF, SEL_KNN,2050.96,1380,36.7253,16.4052,551,2104.09,262,39.9%
SIFT, BRIEF, MAT_BF, SEL_KNN,2081.95,1380,39.2859,13.4605,658,2134.70,308,47.7%
SIFT, BRIEF, MAT_BF, SEL_NN,2058.73,1380,40.2136,43.9449,714,2142.89,333,51.7%
SIFT, BRISK, MAT_BF, SEL_NN,2091.58,1380,37.2984,33.1752,671,2162.05,310,48.6%
SIFT, FREAK, MAT_BF, SEL_KNN,2091.75,1380,102.486,13.4367,526,2207.67,238,38.1%
SIFT, FREAK, MAT_BF, SEL_NN,2089.89,1380,101.826,25.276,639,2216.99,288,46.3%
BRISK, FREAK, MAT_FLANN, SEL_KNN,119.036,2706,131.991,1976.95,1323,2227.98,594,48.9%
BRISK, FREAK, MAT_FLANN, SEL_NN,119.392,2706,132.477,2047.06,2302,2298.93,1001,85.1%
ORB, SIFT, MAT_BF, SEL_NN,125.942,2000,1306.31,1033.69,1268,2465.94,514,63.4%
BRISK, BRISK, MAT_FLANN, SEL_NN,114.896,2706,78.6215,2308.99,2716,2502.51,1085,100.4%
SIFT, BRIEF, MAT_FLANN, SEL_NN,2076.63,1380,39.8708,394.44,1260,2510.94,502,91.3%
BRISK, BRISK, MAT_FLANN, SEL_KNN,116.483,2706,79.4687,2321.55,1426,2517.50,566,52.7%
SIFT, BRIEF, MAT_FLANN, SEL_KNN,2085.28,1380,40.1983,404.6,658,2530.08,260,47.7%
SIFT, BRISK, MAT_FLANN, SEL_NN,2045.14,1380,36.8024,644.996,1320,2726.94,484,95.7%
SIFT, BRISK, MAT_FLANN, SEL_KNN,2052.07,1380,36.7373,653.538,551,2742.35,201,39.9%
BRISK, SIFT, MAT_BF, SEL_NN,115.826,2706,913.298,1858.03,1581,2887.15,548,58.4%
SIFT, FREAK, MAT_FLANN, SEL_NN,2093.36,1380,103.193,852.499,1256,3049.05,412,91.0%
SIFT, FREAK, MAT_FLANN, SEL_KNN,2090.63,1380,102.574,874.673,526,3067.88,171,38.1%
FAST, SIFT, MAT_BF, SEL_KNN,39.558,4904,740.879,2987.78,3273,3768.22,869,66.7%
FAST, BRIEF, MAT_FLANN, SEL_KNN,39.3724,4904,140.617,3738.09,2980,3918.08,761,60.8%
FAST, BRIEF, MAT_FLANN, SEL_NN,39.4713,4904,144.233,3752.26,4378,3935.96,1112,89.3%
SIFT, SIFT, MAT_FLANN, SEL_NN,2046.61,1380,2065.3,152.507,1381,4264.42,324,100.1%
SIFT, SIFT, MAT_FLANN, SEL_KNN,2046.88,1380,2065.34,159.268,782,4271.49,183,56.7%
SIFT, SIFT, MAT_BF, SEL_KNN,2057.86,1380,2065.49,271.451,773,4394.80,176,56.0%
SIFT, SIFT, MAT_BF, SEL_NN,2051.54,1380,2086.49,515.555,834,4653.59,179,60.4%
FAST, ORB, MAT_FLANN, SEL_KNN,39.2628,4904,65.4424,4574.86,2736,4679.57,585,55.8%
FAST, ORB, MAT_FLANN, SEL_NN,39.5808,4904,66.1047,4585.49,4320,4691.18,921,88.1%
FAST, SIFT, MAT_BF, SEL_NN,40.0014,4904,754.366,5987.4,3357,6781.77,495,68.5%
FAST, BRISK, MAT_FLANN, SEL_KNN,39.3163,4904,134.962,6987.82,2184,7162.10,305,44.5%
FAST, BRISK, MAT_FLANN, SEL_NN,39.6312,4904,136.366,7080.64,4672,7256.64,644,95.3%
FAST, FREAK, MAT_FLANN, SEL_KNN,39.1044,4904,188.219,8216.46,2156,8443.78,255,44.0%
FAST, FREAK, MAT_FLANN, SEL_NN,39.9213,4904,191.7,8670.51,4464,8902.13,501,91.0%
