detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts,avg_total,pts_sec
SHITOMASI, SIFT, MAT_BF, SEL_KNN,72.4568,117,415.626,1.92022,103,490.00,210
SHITOMASI, SIFT, MAT_BF, SEL_NN,72.6446,117,418.463,3.84224,101,494.95,204
SHITOMASI, SIFT, MAT_FLANN, SEL_KNN,72.4665,117,415.272,11.7149,103,499.45,206
SHITOMASI, SIFT, MAT_FLANN, SEL_NN,72.7394,117,419.203,10.2981,118,502.24,235
FAST, SIFT, MAT_BF, SEL_KNN,40.0528,408,442.429,22.5037,309,504.99,612
HARRIS, SIFT, MAT_FLANN, SEL_KNN,73.3184,25,431.985,2.25361,18,507.56,35
HARRIS, SIFT, MAT_FLANN, SEL_NN,74.4453,25,434.093,1.94092,23,510.48,45
FAST, SIFT, MAT_FLANN, SEL_NN,40.1676,408,439.851,39.1038,410,519.12,790
HARRIS, SIFT, MAT_BF, SEL_KNN,77.4666,25,441.59,0.236849,18,519.29,35
HARRIS, SIFT, MAT_BF, SEL_NN,76.1689,25,445.394,0.339729,17,521.90,33
FAST, SIFT, MAT_BF, SEL_NN,40.0962,408,441.769,47.2359,293,529.10,554
AKAZE, BRIEF, MAT_BF, SEL_KNN,523.269,167,5.54901,0.637223,140,529.46,264
FAST, SIFT, MAT_FLANN, SEL_KNN,42.0957,408,443.772,44.2725,310,530.14,585
AKAZE, BRIEF, MAT_BF, SEL_NN,523.575,167,5.64569,0.984752,139,530.21,262
AKAZE, BRISK, MAT_BF, SEL_NN,527.252,167,5.05717,0.991686,139,533.30,261
AKAZE, BRISK, MAT_BF, SEL_KNN,528,167,4.95489,0.745414,135,533.70,253
AKAZE, BRIEF, MAT_FLANN, SEL_KNN,530.77,167,5.59772,21.0614,140,557.43,251
AKAZE, BRIEF, MAT_FLANN, SEL_NN,531.864,167,5.58402,20.1011,165,557.55,296
AKAZE, BRISK, MAT_FLANN, SEL_NN,529.533,167,4.97152,23.7468,165,558.25,296
AKAZE, BRISK, MAT_FLANN, SEL_KNN,546.308,167,5.11044,24.5462,135,575.96,234
HARRIS, AKAZE, MAT_BF, SEL_KNN,77.4032,25,517.267,0.378863,19,595.05,32
AKAZE, ORB, MAT_BF, SEL_NN,544.25,167,48.8867,2.74367,134,595.88,225
AKAZE, ORB, MAT_BF, SEL_KNN,545.033,167,49.0992,2.21309,131,596.35,220
HARRIS, AKAZE, MAT_FLANN, SEL_NN,78.7772,25,520.125,2.96737,23,601.87,38
AKAZE, ORB, MAT_FLANN, SEL_NN,538.16,167,49.2562,16.9827,165,604.40,273
HARRIS, AKAZE, MAT_BF, SEL_NN,78.3722,25,526.369,0.355329,17,605.10,28
AKAZE, FREAK, MAT_BF, SEL_NN,533.245,167,73.9739,0.738925,139,607.96,229
HARRIS, AKAZE, MAT_FLANN, SEL_KNN,79.1017,25,528.75,2.99033,19,610.84,31
AKAZE, ORB, MAT_FLANN, SEL_KNN,544.203,167,49.5566,18.681,131,612.44,214
AKAZE, FREAK, MAT_BF, SEL_KNN,539.861,167,74.56,0.495532,131,614.92,213
AKAZE, FREAK, MAT_FLANN, SEL_KNN,541.682,167,73.5611,34.668,131,649.91,202
AKAZE, FREAK, MAT_FLANN, SEL_NN,542.52,167,74.233,34.0155,165,650.77,254
BRISK, SIFT, MAT_BF, SEL_KNN,116.492,277,557.316,10.4145,182,684.22,266
BRISK, SIFT, MAT_BF, SEL_NN,115.261,277,561.565,21.7653,170,698.59,243
BRISK, SIFT, MAT_FLANN, SEL_NN,114.434,277,558.997,28.0945,278,701.53,396
BRISK, SIFT, MAT_FLANN, SEL_KNN,114.491,277,561.728,29.7821,183,706.00,259
ORB, SIFT, MAT_BF, SEL_KNN,123.77,328,635.18,14.3719,230,773.32,297
ORB, SIFT, MAT_FLANN, SEL_NN,126.134,328,634.528,30.8918,325,791.55,411
ORB, SIFT, MAT_FLANN, SEL_KNN,124.589,328,636.159,33.563,230,794.31,290
ORB, SIFT, MAT_BF, SEL_NN,132.215,328,637.543,29.0974,204,798.86,255
AKAZE, AKAZE, MAT_BF, SEL_KNN,527.514,167,506.195,0.695335,139,1034.40,134
AKAZE, SIFT, MAT_BF, SEL_KNN,523.277,167,519.373,3.88262,141,1046.53,135
AKAZE, SIFT, MAT_BF, SEL_NN,526.029,167,521.793,7.23669,141,1055.06,134
AKAZE, SIFT, MAT_FLANN, SEL_KNN,526.248,167,514.923,16.9386,142,1058.11,134
AKAZE, AKAZE, MAT_BF, SEL_NN,542.125,167,515.464,0.938129,138,1058.53,130
AKAZE, SIFT, MAT_FLANN, SEL_NN,524.697,167,518.858,15.1694,165,1058.72,156
AKAZE, AKAZE, MAT_FLANN, SEL_NN,532.21,167,509.53,24.0902,165,1065.83,155
AKAZE, AKAZE, MAT_FLANN, SEL_KNN,533.215,167,512.506,24.1395,139,1069.86,130
SIFT, BRIEF, MAT_BF, SEL_KNN,2048.62,138,4.56191,0.562989,78,2053.74,38
SIFT, BRIEF, MAT_BF, SEL_NN,2048.78,138,4.55529,0.66908,83,2054.00,40
SIFT, BRISK, MAT_BF, SEL_NN,2052.45,138,4.23939,0.80215,78,2057.49,38
SIFT, BRISK, MAT_BF, SEL_KNN,2060.08,138,4.21642,0.648447,65,2064.94,31
SIFT, BRISK, MAT_FLANN, SEL_KNN,2055.05,138,4.23689,17.9649,65,2077.25,31
SIFT, BRIEF, MAT_FLANN, SEL_NN,2058.26,138,4.60519,15.6706,138,2078.54,66
SIFT, BRISK, MAT_FLANN, SEL_NN,2067.43,138,4.20017,17.3869,138,2089.02,66
SIFT, BRIEF, MAT_FLANN, SEL_KNN,2071.4,138,4.56391,16.195,78,2092.16,37
SIFT, FREAK, MAT_BF, SEL_KNN,2053.15,138,71.8769,0.397641,65,2125.42,31
SIFT, FREAK, MAT_BF, SEL_NN,2055.95,138,72.1869,0.580045,75,2128.72,35
SIFT, FREAK, MAT_FLANN, SEL_NN,2069.91,138,72.9892,21.3903,137,2164.29,63
SIFT, FREAK, MAT_FLANN, SEL_KNN,2087.42,138,75.5667,23.483,65,2186.47,30
SIFT, SIFT, MAT_BF, SEL_NN,2057.59,138,2027.68,5.0325,92,4090.30,22
SIFT, SIFT, MAT_BF, SEL_KNN,2082.66,138,2054.33,2.73811,88,4139.73,21
SIFT, SIFT, MAT_FLANN, SEL_KNN,2089.8,138,2054.78,13.9863,89,4158.57,21
SIFT, SIFT, MAT_FLANN, SEL_NN,2093.9,138,2054.14,12.8583,138,4160.90,33
